cycle,bases,mean_phred,q20_percent,q30_percent
405,24,37.125000,100.000000,100.000000
406,24,37.791667,100.000000,100.000000
407,24,37.958333,100.000000,100.000000
408,24,38.000000,100.000000,100.000000
409,24,37.958333,100.000000,100.000000
410,24,37.625000,100.000000,100.000000
411,24,36.416667,95.833333,95.833333
412,24,37.708333,100.000000,100.000000
413,24,37.791667,100.000000,100.000000
414,24,37.750000,100.000000,100.000000
415,24,37.666667,100.000000,100.000000
416,24,37.500000,100.000000,100.000000
417,24,37.291667,100.000000,100.000000
418,24,36.916667,100.000000,95.833333
419,24,35.583333,100.000000,87.500000
420,24,36.708333,95.833333,95.833333
421,24,37.916667,100.000000,100.000000
422,24,37.916667,100.000000,100.000000
423,24,37.541667,100.000000,100.000000
424,24,37.291667,100.000000,100.000000
425,24,37.166667,100.000000,100.000000
426,24,37.375000,100.000000,100.000000
427,24,37.333333,100.000000,100.000000
428,24,37.708333,100.000000,100.000000
429,24,36.666667,95.833333,95.833333
430,24,37.625000,100.000000,100.000000
431,24,37.875000,100.000000,100.000000
432,24,37.625000,100.000000,100.000000
433,24,37.375000,100.000000,100.000000
434,24,36.291667,95.833333,95.833333
435,24,37.500000,100.000000,100.000000
436,24,37.166667,100.000000,95.833333
437,24,36.583333,100.000000,91.666667
438,24,37.041667,100.000000,95.833333
439,24,37.541667,100.000000,100.000000
440,24,36.500000,100.000000,95.833333
441,24,36.500000,100.000000,95.833333
442,24,36.458333,95.833333,95.833333
443,24,37.916667,100.000000,100.000000
444,24,37.666667,100.000000,100.000000
445,24,37.291667,100.000000,95.833333
446,24,37.208333,100.000000,100.000000
447,24,37.541667,100.000000,100.000000
448,24,37.833333,100.000000,100.000000
449,24,37.500000,100.000000,100.000000
450,24,37.041667,100.000000,100.000000
451,24,37.041667,100.000000,100.000000
